Concept,Language,Construction,Glosses,Morphosyntactic class,Structure,LEX Synt,Xform,Xrole,Yform,Yrole,Zform,Zrole,Collocations,Corpus example,Translation
CARRY,Finnish,kantaa eteenpäin,carry further,Agentive event,LV LEXADV,Adv,Nom,Agt,Acc,Th,,,"kantaa eteenpäin (Araneum, 0.57 ipm)",,
CARRY,Finnish,kantaa harteilla,carry shoulder-PL-ADE,Experiential,LV LEXN-case,Obl.loc,Nom,Exp,Acc,Stym,,,"kantaa harteilla (Araneum, 0.36 ipm), kantaa selässään (Araneum, 0.76 ipm), kantaa sydämessä (Araneum, 0.30 ipm)",,
CARRY,Finnish,kantaa huolta,carry worry-PTV,Experiential,LV LEXN-case,Obj,Nom,Exp,,,,,"kantaa huolta (Araneum, 5.57 ipm), kantaa kaunaa (Araneum, 0.65 ipm), kantaa mujstoja (Araneum, 0.25 ipm), kantaa syyllisyyttä (Araneum, 0.32 ipm), kantaa taakkaa (Araneum, 1.52 ipm)",,
CARRY,Finnish,kantaa nimeä,carry name-PTV,Possession of property,LV LEXN-case,Obj,Nom,Th,Nom,Prop,,,"kantaa nimeä (Araneum, 6.32 ipm)",,
CARRY,Finnish,kantaa riskin,carry risk-ACC,Potential malefactive,LV LEXN-case,Obj,Nom,Csr,All,Mal,,,"kantaa riskin (Araneum, 0.82 ipm)",,
CARRY,Finnish,kantaa vastuun,carry responsibility,Agentive relation,LV LEXN-case,Obj,Nom,Agt,Prep,Th,,,"kantaa vastuun (Araneum, 13.52 ipm), kantaa päänvastuun (Araneum, 0.60 ipm)",,
CARRY,Spanish,llevar a hacer,carry to do-INF,Causative,LV Prep LEXV-inf,Obl.dir,Zero,Csr,Zero,Th,,,"llevar a conocer (Araneum, 1.49 ipm), llevar a considerar (Araneum, 0.77 ipm), llevar a desarrollar (Araneum, 0.94 ipm), llevar a descubrir (Araneum, 0.69 ipm), llevar a escribir (Araneum, 1.62 ipm), llevar a estudiar (Araneum, 0.67 ipm), llevar a hacer (Araneum, 9.13 ipm), llevar a olvidar (Araneum, 0.72 ipm), llevar a pensar (Araneum, 4.08 ipm), llevar a perder (Araneum, 0.86 ipm), llevar a plantear (Araneum, 0.55 ipm), llevar a preguntarse (Araneum, 0.66 ipm), llevar a realizar (Araneum, 1.42 ipm), llevar a seguir (Araneum, 2.42 ipm)",,
CARRY,Spanish,llevar a práctica,carry to practice,Causative,LV Prep LEXN,Obl.dir,Zero,Csr,Zero,Th,,,"llevar a cabo (Araneum, 145.51 ipm), llevar a resultado (Araneum, 0.81 ipm), llevar a cambio (Araneum, 1.39 ipm), llevar a desarrollo (Araneum, 1.04 ipm), llevar a termino (Araneum, 1.19 ipm), llevar al limite (Araneum, 0.79 ipm), llevar al triunfo (Araneum, 0.48 ipm), llevar a ebullición (Araneum, 0.66 ipm), llevar a efecto (Araneum, 1.48 ipm), llevar a error (Araneum, 0.66 ipm), llevar a conclusion (Araneum, 1.01 ipm), llevar a crisis (Araneum, 0.96 ipm), llevar a muerte (Araneum, 1.28 ipm), llevar a la práctica (Araneum, 2.80 ipm), llevar a ruina (Araneum, 0.55 ipm)",,
CARRY,Spanish,llevar abierto,carry open-PTCP,Possession of property,LV LEXV-ptcp,Dep,Zero,Th,None,None,,,"llevar abierto (Araneum, 0.56 ipm)",,
CARRY,Spanish,llevar adelante,carry forward,Agentive event,LV LEXADV,Adv,Zero,Agt,Zero,Th,,,"llevar adelante (Araneum, 13.74 ipm)",,
CARRY,Spanish,llevar asociado,carry associate-PTCP,Thematic relation,LV LEXV-ptcp,Dep,Zero,Th,Zero,Gr,,,"llevar aparejado (Araneum, 1.15 ipm), llevar asociado (Araneum, 0.63 ipm), llevar incorporado (Araneum, 0.69 ipm), llevar informacion (Araneum, 1.16 ipm), llevar puesto (Araneum, 0.58 ipm)",,
CARRY,Spanish,llevar control,carry control,Agentive relation,LV LEXN,Obj,Zero,Agt,Prep,Th,,,"llevar el control (Araneum, 1.97 ipm), llevar iniciativa (Araneum, 1.64 ipm), llevar la contabilidad (Araneum, 0.58 ipm), llevar la dirección (Araneum, 0.75 ipm), llevar las riendas (Araneum, 0.49 ipm)",,
CARRY,Spanish,llevar delantera,carry lead,Thematic relation,LV LEXN,Obj,Nom,Th,,,,,"llevar la delantera (Araneum, 0.51 ipm)",,
CARRY,Spanish,llevar dentro,carry inside,Experiential,LV LEXADV,Adv,Zero,Exp,Zero,Stym,,,"llevar dentro (de mi) (Araneum, 4.80 ipm)",,
CARRY,Spanish,llevar en corazon,carry in heart,Experiential,LV Prep LEXN,Obl.loc,Zero,Exp,Zero,Stym,,,"llevar en corazon (Araneum, 1.21 ipm), llevar en cabeza (Araneum, 1.07 ipm)",,
CARRY,Spanish,llevar experiencia,carry experience,Potential benefactive,LV LEXN,Obj,Zero,Csr,,,,,"llevar experiencia (Araneum, 1.33 ipm)",,
CARRY,Spanish,llevar hablando,carry talk-CVB,Agentive event,LV LEXV-cvb,Cvb,Zero,Agt,Various,Various,,,"llevar escribiendo (Araneum, 1.62 ipm), llevar estudiando (Araneum, 0.67 ipm), llevar funcionando (Araneum, 0.69 ipm), llevar hablando (Araneum, 0.94 ipm), llevar jugando (Araneum, 0.67 ipm), llevar leyendo (Araneum, 1.37 ipm), llevar luchando (Araneum, 0.51 ipm), llevar practicando (Araneum, 0.47 ipm), llevar trabajando (Araneum, 3.72 ipm), llevar tratando (Araneum, 1.62 ipm), llevar usando (Araneum, 0.86 ipm), llevar viviendo (Araneum, 1.67 ipm)",,
CARRY,Spanish,llevar negocio,carry negotiation,Agentive event,LV LEXN,Obj,Zero,Agt,Various,Various,,,"llevar camino (Araneum, 3.58 ipm), llevar dieta (Araneum, 1.39 ipm), llevar negocio (Araneum, 1.06 ipm), llevar guerra (Araneum, 1.09 ipm), llevar proceso (Araneum, 3.25 ipm), llevar trabajo (Araneum, 4.40 ipm), llevar vida (Araneum, 10.45 ipm)",,
CARRY,Spanish,llevar nombre,carry name,Possession of property,LV LEXN,Obj,Zero,Th,Zero,Prop,,,"llevar apellido (Araneum, 0.51 ipm), llevar nombre (Araneum, 9.93 ipm), llevar fecha (Araneum, 0.59 ipm), llevar razón (Araneum, 2.66 ipm)",,
CARRY,Spanish,llevar peso,carry burden,Experiential,LV LEXN,Obj,Zero,Exp,,,,,"llevar peso (Araneum, 1.23 ipm), llevar esperando (Araneum, 2.02 ipm), llevar idea (Araneum, 2.06 ipm), llevar carga (Araneum, 1.02 ipm), llevar una allegria (Araneum, 0.55 ipm)",,
CARRY,Spanish,llevar por título,carry for title,Possession of property,LV Prep LEXN,Obl.purp,Zero,Th,Zero,Prop,,,"llevar por título (Araneum, 3.93 ipm)",,
CARRY,Spanish,llevar ritmo,carry rhythm,Agentive relation,LV LEXN,Obj,Zero,Agt,Prep,Th,,,"llevar ritmo (Araneum, 1.14 ipm), llevar contraria (Araneum, 1.34 ipm), llevar cuenta (Araneum, 1.74 ipm)",,
CARRY,Chinese,ná dìng,carry decide,Experiential,LV CV,Pred,Zero,Exp,None,None,,,"ná bù dìng (Araneum, 0.62 ipm), ná dìng (Araneum, 1.01 ipm)",,
CARRY,Chinese,ná gè zhǔyi,carry CL idea,Thematic relation,LV LEXN,Obj,Zero,Th,,,,,"ná gè zhǔ yi (Araneum, 1.17 ipm)",,
CARRY,Chinese,ná kāidāo,carry operate,Agentive event,LV CV,Pred,Zero,Agt,Zero,Th,,,"ná kāi dāo (Araneum, 0.51 ipm), ná kāi wán xiào (Araneum, 0.65 ipm), ná kàn kàn (Araneum, 1.03 ipm), ná qù huàn (Araneum, 0.89 ipm), ná wán (Araneum, 0.65 ipm)",,
CARRY,Russian,nesti bremja,carry burden-ACC,Experiential,LV LEXN-case,Obj,Nom,Exp,Gen,Stym,,,"nesti bremja (Araneum, 0.61 ipm), nesti gruz (Araneum, 0.31 ipm)","Самое тяжелое бремя несут те, кто непосредственно ухаживает за больным. (Araneum, http://www.doktor-mazurov.ru/sub/articles/1w/4f)",The heaviest burden is borne by those who directly care for the sick.
CARRY,Russian,nesti na plečax,carry on shoulder-LOC.PL,Experiential,LV Prep LEXN-case,Obl.loc,Nom,Exp,Acc,Stym,,,"nesti na plečax (Araneum, 0.35 ipm)","Красивая, хрупкая женщина, она несла на своих плечах поистине титаническую нагрузку... (Araneum,  http://litgazeta.dompisatel.ru/archives/657)","A beautiful, fragile woman, she carried a truly titanic burden on her shoulders..."
CARRY,Russian,nesti otvetstvennostj,carry responsibility-ACC,Agentive relation,LV LEXN-case,Obj,Nom,Agt,Prep Acc,Th,,,"nesti objazannostj (Araneum, 0.64 ipm), nesti objazateljstvo (Araneum, 0.57 ipm), nesti otvetstvennostj (Araneum, 20.23 ipm), nesti izderžki (Araneum, 0.23 ipm), nesti rasxody (Araneum, 1.32 ipm), nesti zatraty (Araneum, 0.57 ipm)","Убийца несет ответственность перед Богом за убийство, а общность за то, что не успела отомстить убийце, за неуспех привлечь убийцу к правосудию. (Araneum, http://commentary.net/bgrecon/Rushdoony/rrib-ru/chap06.htm)","The murderer is responsible before God for the murder, and the community is responsible for failing to avenge the murderer and for failing to bring the murderer to justice. "
CARRY,Russian,nesti poljzu,carry benefit-ACC,Potential benefactive,LV LEXN-case,Obj,Nom,Csr,Dat,Csr,,,"nesti cennostj (Araneum, 0.33 ipm), nesti dobro (Araneum, 0.39 ipm), nesti ènergiju (Araneum, 0.40 ipm), nesti ljubovj (Araneum, 0.35 ipm), nesti poljzu (Araneum, 0.70 ipm), nesti radostj (Araneum, 0.45 ipm), nesti svet (Araneum, 0.76 ipm), nesti teplo (Araneum, 0.21 ipm), nesti zarjad (Araneum, 0.38 ipm)","Ведь работа у него такая – нести пользу человеку, которому он служит. (Araneum, http://afrodita7.ru/osnovy-duxovnogo-razvitiya/angel-hranitel.html)","After all, his job is to benefit the person he serves. "
CARRY,Russian,nesti službu,carry service-ACC,Agentive event,LV LEXN-case,Obj,Nom,Agt,Prep Loc,Loc,,,"nesti poslušanie (Araneum, 0.32 ipm), nesti službu (Araneum, 1.90 ipm), nesti služenie (Araneum, 0.28 ipm), nesti vaxtu (Araneum, 0.32 ipm)","Отряд кораблей ТОФ отправился нести службу в Индийском океане (Araneum,  http://ria.ru/defense_safety/20130319/927940850.html)",A detachment of Pacific Fleet ships has departed for duty in the Indian Ocean.
CARRY,Russian,nesti smysl,carry sense-ACC,Thematic relation,LV LEXN-case,Obj,Nom,Th,Gen,Th,,,"nesti funkciju (Araneum, 1.05 ipm), nesti ideju (Araneum, 0.34 ipm), nesti informaciju (Araneum, 1.81 ipm), nesti nagruzku (Araneum, 2.26 ipm), nesti otpečatok (Araneum, 0.36 ipm), nesti pečatj (Araneum, 0.26 ipm), nesti smysl (Araneum, 0.78 ipm), nesti soderžanie (Araneum, 0.54 ipm), nesti značenie (Araneum, 0.32 ipm), nesti znamja (Araneum, 0.21 ipm), nesti znanie (Araneum, 0.34 ipm)","И слово ""демократия"" тоже несет негативный смысл. (Araneum, http://www.dazzle.ru/spec/mzoiir.shtml)","And the word ""democracy"" also carries a negative connotation."
CARRY,Russian,nesti ubytki,carry loss-pl,Affectedness,LV LEXN-case,Obj,Nom,Aff,Prep Gen,Csr,,,"nesti nakazanie (Araneum, 0.30 ipm), nesti poteri (Araneum, 1.22 ipm), nesti ubytki (Araneum, 0.89 ipm), nesti uščerb (Araneum, 0.22 ipm)","Испанские банки несут ощутимые убытки из-за ипотечных невозвратов. (Araneum, http://vsenovosti.in.ua/news/1123123)",Spanish banks are suffering significant losses due to mortgage defaults.
CARRY,Russian,nesti vred,carry harm-ACC,Potential malefactive,LV LEXN-case,Obj,Nom,Csr,Dat,Mal,,,"nesti opasnostj (Araneum, 1.10 ipm), nesti posledstvija (Araneum, 0.45 ipm), nesti razrušenie (Araneum, 0.22 ipm), nesti risk (Araneum, 1.25 ipm), nesti smertj (Araneum, 0.40 ipm), nesti ugrozu (Araneum, 1.41 ipm), nesti vred (Araneum, 0.53 ipm)","Такие продукты не несут вреда организму независимо от группы крови. (Araneum, http://www.lishnemuvesu.ru/dieta_po_gruppe_krovi.html)","These products pose no harm to the body, regardless of blood type."
CARRY,Russian,nesti xarakter,carry manner-ACC,Possession of property,LV LEXN-case,Obj,Nom,Th,Adj/Gen,Prop,,,"nesti xarakter (Araneum, 0.43 ipm)","Такие отношения во многих случаях несут временный характер.(Araneum, http://beauty-miss.ru/psixologiya/kak-vybrat-svoego-muzhchinu.html)",Such relationships are often temporary.
CARRY,Russian,nositj bolj,carry pain-ACC,Experiential,LV LEXN-case,Obj,Nom,Exp,Gen,Stym,,,"nositj bolj (Araneum, 0.31 ipm)","Ношу эту боль в себе и не могу ничего с собой поделать. (Araneum, http://www.izmen.net/art/4_11.php)",I carry this pain inside me and I can’t do anything about it.
CARRY,Russian,nositj imja,carry name-ACC,Possession of property,LV LEXN-case,Obj,Nom,Th,Nom,Prop,,,"nositj familiju (Araneum, 0.77 ipm), nositj imja (Araneum, 4.92 ipm), nositj nazvanie (Araneum, 7.93 ipm), nositj titul (Araneum, 0.51 ipm), nositj zvanie (Araneum, 0.85 ipm)","Кстати, в одном только Париже имя Сталинграда носят площадь, бульвар и станция метро. (Araneum, http://varjag-2007.dreamwidth.org/3934971.html?mode=reply)","Incidentally, in Paris alone, a square, a boulevard, and a metro station bear the name of Stalingrad."
CARRY,Russian,nositj informaciju,carry information-ACC,Thematic relation,LV LEXN-case,Obj,Nom,Th,,,,,"nositj informaciju (Araneum, 0.27 ipm), nositj znak (Araneum, 0.27 ipm)",ПРОВЕРИТЬ ЕЩЁ РАЗ,
CARRY,Russian,nositj v serdce,carry in heart-LOC,Experiential,LV Prep LEXN-case,Obl.loc,Nom,Exp,Acc,Stym,,,"nositj na plečax (Araneum, 0.35 ipm), nositj v serdce (Araneum, 0.35 ipm)","Есть люди, которые носят в своём сердце обиду на Бога.(Araneum, http://sphmin.org/tokarev/Iscelenie.html)",There are people who carry resentment against God in their hearts.
CARRY,Russian,nositj xarakter,carry manner-ACC,Possession of property,LV LEXN-case,Obj,Nom,Th,Adj/Gen,Prop,,,"nositj ottenok (Araneum, 0.23 ipm), nositj status (Araneum, 0.20 ipm), nositj xarakter (Araneum, 24.47 ipm)","Пока вопрос о сокращении носит рекомендательный характер. (Araneum, http://www.business-gazeta.ru/article/38958/16/)","For now, the issue of staff reduction is advisory in nature."
CARRY,Bulgarian,nosya breme,carry burden,Experiential,LV LEXN,Obj,Zero,Exp,Prep,Stym,,,"nosya bolka (Araneum, 0.47 ipm), nosya breme (Araneum, 0.39 ipm), nosya chuvstvo (Araneum, 0.57 ipm), nosya gordost (Araneum, 0.47 ipm), nosya spomen (Araneum, 0.52 ipm), nosya tezhest (Araneum, 0.72 ipm), nosya useshtane (Araneum, 1.37 ipm), nosya vina (Araneum, 1.35 ipm)","Много години тя търпеливо носеше бремето на своя изнурителен живот в пустинята. (Araneum, megimg.info)",For many years she patiently bore the burden of her grueling life in the desert.
CARRY,Bulgarian,nosya harakter,carry manner,Possession of property,LV LEXN,Obj,Zero,Th,Adj/Prep,Prop,,,"nosya aromat (Araneum, 0.87 ipm), nosya harakter (Araneum, 0.83 ipm), nosya harakteristika (Araneum, 0.32 ipm)","Изработката на сайт не може да носи повърхностен характер. (Araneum, artwebdesign.bg )",Website development cannot be superficial.
CARRY,Bulgarian,nosya idea,carry idea,Thematic relation,LV LEXN,Obj,Zero,Th,Prep,Gr,,,"nosya belezi (Araneum, 1.26 ipm), nosya cherti (Araneum, 0.30 ipm), nosya duh (Araneum, 1.72 ipm), nosya element (Araneum, 0.74 ipm), nosya idea (Araneum, 0.66 ipm), nosya informatsiya (Araneum, 1.56 ipm), nosya obraz (Araneum, 0.30 ipm), nosya otpechatak (Araneum, 0.48 ipm), nosya pechat (Araneum, 0.36 ipm), nosya plod (Araneum, 0.46 ipm), nosya poslanie (Araneum, 1.90 ipm), nosya resultati (Araneum, 0.79 ipm), nosya sadarzhanie (Araneum, 0.70 ipm), nosya smisal (Araneum, 0.73 ipm), nosya znachenie (Araneum, 0.51 ipm), nosya znak (Araneum, 0.72 ipm), nosya zname (Araneum, 0.51 ipm), nosya znanie (Araneum, 0.37 ipm)","Както знаем, знакът сам по себе си носи идеята за универсум. (Araneum, slav.uni-sofia.bg)","As we know, the sign itself carries the idea of ​​a universe. "
CARRY,Bulgarian,nosya ime,carry name,Possession of property,LV LEXN,Obj,Zero,Th,Zero,Prop,,,"nosya familiya (Araneum, 0.42 ipm), nosya ime (Araneum, 20.42 ipm), nosya naimenovanie (Araneum, 0.90 ipm), nosya nazvanie (Araneum, 0.74 ipm), nosya sposobnost (Araneum, 0.29 ipm), nosya titla (Araneum, 0.72 ipm), nosya zaglavie (Araneum, 1.27 ipm)","В миналото носи името Аджар, което от арабски значи нож. (Araneum, m.profit.bg)","In the past, it was called Adjar, which means knife in Arabic. (Araneum, m.profit.bg)"
CARRY,Bulgarian,nosya otgovornost,carry responsibility,Agentive relation,LV LEXN,Obj,Zero,Agt,Prep,Th,,,"nosya otgovornost (Araneum, 24.22 ipm), nosya posleditsite (Araneum, 0.35 ipm), nosya posledstvie (Araneum, 0.79 ipm)","Редакцията не носи отговорност за съдържанието на коментарите. (Araneum, arhiv.vestnikataka.bg)",The editorial staff is not responsible for the content of the comments.
CARRY,Bulgarian,nosya polza,carry benefit,Potential benefactive,LV LEXN,Obj,Zero,Csr,Prep,Ben,,,"nosya aromat (Araneum, 0.87 ipm), nosya familiya (Araneum, 0.42 ipm), nosya harakter (Araneum, 0.83 ipm), nosya harakteristika (Araneum, 0.32 ipm), nosya ime (Araneum, 20.42 ipm), nosya naimenovanie (Araneum, 0.90 ipm), nosya nazvanie (Araneum, 0.74 ipm), nosya sposobnost (Araneum, 0.29 ipm), nosya titla (Araneum, 0.72 ipm), nosya zaglavie (Araneum, 1.27 ipm)","Явно толкова полза съм носил на моя работодател. (Araneum, smartmoney.bg)",Apparently I have been so beneficial to my employer.
CARRY,Bulgarian,nosya v sartseto,carry in heart-DEF,Experiential,LV Prep LEXN,Obl.loc,Zero,Exp,Zero,Stym,,,"nosya v sartseto (Araneum, 1.72 ipm), nosya v dushata (Araneum, 1.06 ipm)","Спирам, питам за теб но те няма в Града нося горест в сърцето пред вратата стоя. (Araneum, grosnipelikani.net )","I stop, I ask about you but you are not in the City, I carry sorrow in my heart, I stand before the door."
CARRY,Bulgarian,nosya vredi,carry harm,Potential malefactive,LV LEXN,Obj,Zero,Csr,Prep,Mal,,,"nosya atmosfera (Araneum, 0.32 ipm), nosya divident (Araneum, 0.36 ipm), nosya dohod (Araneum, 0.82 ipm), nosya dohodnost (Araneum, 0.33 ipm), nosya emotsii (Araneum, 0.82 ipm), nosya energiya (Araneum, 1.02 ipm), nosya istina (Araneum, 0.32 ipm), nosya kasmet (Araneum, 1.60 ipm), nosya lyubov (Araneum, 1.08 ipm), nosya mir (Araneum, 0.42 ipm), nosya nadezhda (Araneum, 0.58 ipm), nosya naslada (Araneum, 0.82 ipm), nosya nastroenie (Araneum, 0.94 ipm), nosya negativi (Araneum, 0.39 ipm), nosya neshtastie (Araneum, 0.45 ipm), nosya novina (Araneum, 0.35 ipm), nosya oblekchenie (Araneum, 0.33 ipm), nosya opasnost (Araneum, 0.34 ipm), nosya pechalba (Araneum, 1.40 ipm), nosya polza (Araneum, 3.07 ipm), nosya predimstvo (Araneum, 0.55 ipm), nosya promeni (Araneum, 0.76 ipm), nosya radost (Araneum, 2.97 ipm), nosya risk (Araneum, 2.71 ipm), nosya shtastie (Araneum, 1.72 ipm), nosya sigurnost (Araneum, 0.49 ipm), nosya slava (Araneum, 1.10 ipm), nosya smart (Araneum, 0.48 ipm), nosya spokoystvie (Araneum, 0.54 ipm), nosya stoynost (Araneum, 0.82 ipm), nosya svetlina (Araneum, 0.98 ipm), nosya svoboda (Araneum, 0.48 ipm), nosya udovletvorenie (Araneum, 1.58 ipm), nosya udovolstvie (Araneum, 1.86 ipm), nosya usmivka (Araneum, 0.35 ipm), nosya uspeh (Araneum, 1.03 ipm), nosya vazmozhnost (Araneum, 0.67 ipm), nosya vredi (Araneum, 0.77 ipm), nosya zaguba (Araneum, 0.54 ipm), nosya zaryad (Araneum, 0.82 ipm), nosya zdrave (Araneum, 1.05 ipm)","Трябва да разберете, че те носят само вреда на организма. (Araneum, kamato.bg )",You need to understand that they only bring harm to the body.
CARRY,German,tragen auf dem Rücken,carry on DEF.M.DAT back,Experiential,LV Prep LEXN-case,Obl.loc,Nom,Exp,Acc,Stym,,,"tragen auf Rücken (Araneum, 0.43 ipm), tragen auf Schultern (Araneum, 0.32 ipm), tragen im Herzen (Araneum, 0.82 ipm)",,
CARRY,German,tragen Charakter,carry manner,Possession of property,LV LEXN-case,Obj,Nom,Th,,,,,"tragen Charakter (Araneum, 0.40 ipm)",,
CARRY,German,tragen Früchte,carry fruit-PL,Thematic relation,LV LEXN-case,Obj,Nom,Th,None,None,,,"tragen Anteil (Araneum, 0.31 ipm), tragen Früchte (Araneum, 2.50 ipm), tragen Zeichen (Araneum, 0.26 ipm)",,
CARRY,German,tragen in die Öffentlichkeit,carry in DEF.F.ACC public,Causative,LV Prep LEXN-case,Obl.dir,Nom,Csr,Acc,Th,,,"tragen in die Öffentlichkeit (Araneum, 0.60 ipm)",,
CARRY,German,tragen Namen,carry name,Possession of property,LV LEXN-case,Obj,Nom,Th,Nom,Prop,,,"tragen Bezeichnung (Araneum, 0.53 ipm), tragen Namen (Araneum, 6.41 ipm), tragen Titel (Araneum, 2.15 ipm)",,
CARRY,German,tragen Rechnung,carry count,Agentive relation,LV LEXN-case,Obj,Nom,Agt,Dat,Th,,,"tragen Rechnung (Araneum, 8.92 ipm)",,
CARRY,German,tragen Schaden,carry harm-PL,Potential malefactive,LV LEXN-case,Obj,Nom,Csr,,,,,"tragen Risiko (Araneum, 1.03 ipm), tragen Schaden (Araneum, 0.55 ipm)",,
CARRY,German,tragen Schuld,carry guilt,Experiential,LV LEXN-case,Obj,Nom,Exp,Prep Acc,Stym,,,"tragen Gedanken (Araneum, 0.42 ipm), tragen Idee (Araneum, 0.21 ipm), tragen Last (Araneum, 0.92 ipm), tragen Mitschuld (Araneum, 0.22 ipm), tragen Schuld (Araneum, 0.90 ipm)",,
CARRY,German,tragen Verantwortung ,carry responsibility,Agentive relation,LV LEXN-case,Obj,Nom,Agt,Prep Acc,Th,,,"tragen Kosten (Araneum, 3.09 ipm), tragen Verantwortung (Araneum, 4.43 ipm), tragen Mitverantwortung (Araneum, 0.20 ipm), tragen Sorgen (Araneum, 3.44 ipm), tragen Folgen (Araneum, 0.34 ipm), tragen Konsequenzen (Araneum, 0.49 ipm)"
